invoice_id,vendor_name,amount,tax_amount,tax_rate,description,date,is_fake
INV-1996,Amazon Web Servces,25000.0,7309.63,0.2904598719368418,Emergency maintenance work,2024-11-10 01:58:36.481350,1
INV-4979,Gogle LLC,24165.64,4349.82,0.18,Miscellaneous services and products,2024-08-30 01:58:36.481350,1
INV-6589,Microsft Corp,45820.05,8473.17,0.18468287894337687,Miscellaneous services and products,2025-06-23 01:58:36.481350,1
1ODX0UNW,Salesforec Inc,10000.0,1827.87,0.1855009098326557,Various professional services,2025-04-13 01:58:36.481350,1
INV-2826,Apple Inc,7206.0,1297.08,0.18,Software licensing and support services,2025-07-12 01:58:36.481350,0
INV-8693,IBM Corporation,9630.65,1733.52,0.18,Professional consulting services,2024-10-15 01:58:36.481350,0
TD3X139O,Gogle LLC,15492.73,2788.69,0.18,Emergency maintenance work,2025-04-22 01:58:36.481350,1
INV-3198,Salesforce Inc,4818.28,867.29,0.18,Software licensing and support services,2024-10-07 01:58:36.481350,0
INV-2015,Microsft Corp,44442.06,7999.57,0.18,Emergency maintenance work,2024-09-09 01:58:36.499205,1
INV-9234,Amazon Web Services,3673.94,661.31,0.18,Professional consulting services,2025-02-05 01:58:36.481350,0
INV-5482,Microsoft Corp,7209.23,1297.66,0.18,Software licensing and support services,2024-07-23 01:58:36.481350,0
T3XQJ4SP,Gogle LLC,16194.24,2914.96,0.18,General business expenses,2025-03-22 01:58:36.497189,1
INV-1838,Google LLC,346.13,62.3,0.18,Hardware procurement and installation,2024-08-27 01:58:36.481350,0
INV-3071,Microsft Corp,47839.37,9437.9,0.1981198785951278,Miscellaneous services and products,2024-07-27 01:58:36.497189,1
INV-7553,Salesforce Inc,7540.64,1357.32,0.18,Professional consulting services,2025-06-21 01:58:36.481350,0
INV-3117,Microsoft Corp,6661.78,1199.12,0.18,Cloud computing services for Q1 2024,2025-06-24 01:58:36.481350,0
INV-8295,Salesforce Inc,1631.62,293.69,0.18,Hardware procurement and installation,2025-06-27 01:58:36.481350,0
INV-8954,Aple Inc,5960.0,1072.8,0.18,General business expenses,2025-06-08 01:58:36.481350,1
INV-2315,Google LLC,6146.42,1106.36,0.18,Software licensing and support services,2024-10-27 01:58:36.481350,0
INV-6520,IBM Corporaton,965.75,118.49,0.07249621142864728,Various professional services,2025-06-27 01:58:36.497189,1
INV-6380,Salesforec Inc,47793.6,9191.79,0.19312235474199285,Various professional services,2025-05-23 01:58:36.497189,1
INV-9776,Oracl Corporation,7157.41,1288.33,0.18,Various professional services,2025-01-04 01:58:36.481350,1
